Recipe Name,Ingredients,Link
masala vada curry recipe   chana dal vada curry recipe,"bengal gram dal , dry red chilli, curry leaves, fennel seeds , oil, cinnamon stick , cloves , cardamom seeds, whole black pepper corns, bay leaf , green chilli, curry leaves, onion, ginger, garlic, tomato puree, turmeric powder , red chilli powder, coriander powder , salt, mint leaves",https://www.archanaskitchen.com/masala-vada-curry-recipe-chana-dal-vada-curry-recipe
mexican chicken soup recipe,"onion, carrot , celery, sweet corn, garlic, green chilli, tomatoes, chicken breasts, dried oregano, red chilli powder, cumin powder , coriander leaves, chicken stock, lemon juice, salt, oil",https://www.archanaskitchen.com/mexican-chicken-soup-recipe
kashmiri style tamatar chaman recipe  paneer cooked with tomatoes,"paneer , tomatoes, cumin seeds , carom seeds , kashmiri red chilli powder, turmeric powder , fennel powder, dry ginger powder, garam masala powder, mustard oil, salt",https://www.archanaskitchen.com/tamatar-chaaman-recipe-kashmiri-style-paneer-cooked-with-tomatoes
paneer stuffed bhindi in ajwain tomato gravy recipe," lady finger , paneer , red chilli powder, coriander powder , chaat masala powder, salt, onion, ginger, garlic, carom seeds , green chilli, red chilli powder, coriander powder , turmeric powder , garam masala powder, tomato puree, fenugreek leaves , oil, salt",https://www.archanaskitchen.com/paneer-stuffed-bhindi-in-ajwain-tomato-gravy-recipe
goan style tonak alsanyache recipe  black eyed beans cooked in tonak masala recipe,"black eyed beans , potatoes  aloo , tamarind water, turmeric powder , salt, onion, fresh coconut, green chilli, garlic, coriander seeds, cardamom seeds, cinnamon stick , dry red chilli, whole black peppercorns, cloves , cumin seeds",https://www.archanaskitchen.com/goan-style-tonak-alsanyache-recipe-black-eyed-beans-cooked-in-tonak-masala-recipe
thouthe kodel recipe  mangalore southekayi curry,"cucumber, tamarind water, toor dal , turmeric powder , salt, oil, coriander seeds, cumin seeds , methi seeds ,  urad dal , whole black peppercorns, fresh coconut, dry red chilli, garlic, oil, mustard seeds ,  urad dal , dry red chilli, garlic, curry leaves",https://www.archanaskitchen.com/thouthe-kodel-recipe-mangalore-cucumber-curry
karwar style kelya sasav recipe ripened banana relish,"ripe bananas, fresh coconut, dry red chilli, jaggery, salt",https://www.archanaskitchen.com/karwar-style-kelya-sasav-recipe-banana-relish-recipe
beetroot and carrot veg balls with saut ed leek recipe,"leek, black sesame seeds, butter  salted ,carrot , beetroot, paneer , ginger, onion, dried oregano, tarragon, rosemary, red chilli flakes, honey, gram flour  besan , salt, oil",https://www.archanaskitchen.com/ginger-and-carrot-veg-balls-with-sauteed-leek-recipe
chettinad style pepper mushroom recipe,"mushrooms, tomato, green chilli, bay leaf , fennel seeds , curry leaves, coriander leaves, oil, salt, fresh coconut, coriander seeds, whole black peppercorns, cumin seeds , poppy seeds, fennel seeds , cinnamon stick , cardamom seeds, cloves , star anise, mace  javitri , nutmeg powder, dry red chilli,  urad dal , shallots, garlic, ginger, curry leaves, turmeric powder",https://www.archanaskitchen.com/chettinad-style-pepper-mushroom-recipe
restaurant style phool gobhi masala recipe,"cauliflower  , turmeric powder , mustard oil, cumin seeds , bay leaf , ginger garlic paste, water, onion, water, garam masala powder, kashmiri red chilli powder, tomato puree, fresh cream, ghee, green chilli, cashew nuts, salt",https://www.archanaskitchen.com/restaurant-style-phool-gobhi-masala-recipe
greek style broken wheat salad with chickpeas  fresh mint   feta   a mediterranean powerhouse,"broken wheat  dalia  godumai rava ,  white chickpeas , garlic, onions, carrot , red bell pepper  capsicum , broccoli, cinnamon powder  dalchini , lemon juice, caster sugar, feta cheese, mint leaves , extra virgin olive oil, salt and pepper",https://www.archanaskitchen.com/greek-style-broken-wheat-salad-with-chickpeas-fresh-mint-feta-recipe
spiced ghee rice recipe   neychoru,"basmati rice, onion, green chilli, ginger garlic paste, ghee, fennel seeds , bay leaf , star anise, cloves , cardamom seeds, salt, cashew nuts, sultana raisins, apricots, water",https://www.archanaskitchen.com/ghee-rice-recipe-neychoru
konkani style southe koddel recipe mangalore cucumber in coconut curry,"cucumber, tamarind water, jaggery, turmeric powder , salt, oil, methi seeds ,  urad dal , bengal gram dal , fresh coconut, cumin seeds , dry red chilli, curry leaves, garlic, oil, mustard seeds ,  urad dal , curry leaves",https://www.archanaskitchen.com/konkani-style-southe-koddel-recipe-mangalore-cucumber-in-coconut-curry-recipe
konkan style vali bhajji ambat recipe spiced malabar spinach dal,"spinach leaves , toor dal , onion, tomato, tamarind, turmeric powder , jaggery, salt, fresh coconut, coriander seeds, dry red chilli, mustard seeds , garlic, oil",https://www.archanaskitchen.com/vali-bhajji-ambat-recipe-konkan-style-spiced-malabar-spinach-dal-recipe
thai pineapple vegetarian fried rice recipe  no onion no garlic,"cooked rice, pineapple, beans, carrot , green bell peppers , green peas , tomatoes, butter  salted , green chilli, sugar, soya sauce, garam masala powder, black pepper powder, salt, dry fruits",https://www.archanaskitchen.com/thai-pineapple-vegetarian-fried-rice-recipe-no-onion-no-garlic
muttaikose poriyal recipe   cabbage stir fry with coconut,"cabbage , mustard seeds ,  urad dal , curry leaves, green chilli, fresh coconut, salt",https://www.archanaskitchen.com/muttaikose-poriyal-recipe-south-indian-cabbage-stir-fry-with-coconut
sweet and spicy thai style paneer recipe,"paneer , thai red curry paste, sriracha sauce, lemon, garlic, green chilli, salt and pepper, oil, sesame seeds , roasted peanuts  moongphali , onion, lemon wedges, spring onion greens, coriander leaves",https://www.archanaskitchen.com/sweet-and-spicy-thai-style-paneer-recipe
karwar style dali thoy recipe   toor dal curry,"toor dal , turmeric powder , salt, ghee, dry red chilli, mustard seeds , asafoetida , curry leaves, coriander leaves",https://www.archanaskitchen.com/dali-thoy-recipe-karwar-style-toor-dal-curry
lagan ki machli recipe   delicious pomfret curry,"pomfret fish, ginger, garlic, salt, lemon juice, red chilli powder, turmeric powder , oil, cumin seeds , star anise, cinnamon stick , dry red chilli, onions, red chilli powder, garam masala powder, coriander powder , cumin powder , salt, tomato puree, curd , coriander leaves",https://www.archanaskitchen.com/lagan-ki-machli-recipe-delicious-pomfret-curry
broccoli paratha recipe,"broccoli, onion, coriander powder , salt, red chilli powder, garam masala powder, cumin powder , oil, whole wheat flour, salt, water, oil",https://www.archanaskitchen.com/broccoli-paratha-recipe
mangalorean style ambe upkari recipe   ripe mango curry,"mango  ripe , jaggery, green chilli, ghee, dry red chilli,  urad dal , mustard seeds , asafoetida",https://www.archanaskitchen.com/mangalorean-style-ambe-upkari-recipe-tempered-ripe-mango-curry
chinese style green beans recipe,"beans,gingelly  oil, garlic, ginger, soy sauce, white wine vinegar, red chilli sauce, dry red chilli, corn flour, vegetable stock, sesame seeds",https://www.archanaskitchen.com/chinese-style-green-beans-recipe
vankaya gasagasala kura   andhra style eggplant poppy seeds curry recipe,"methi seeds , poppy seeds, eggplant , oil, mustard seeds , cumin seeds , garlic, red chilli powder, coriander powder , turmeric powder , methi seeds , tamarind, jaggery, salt",https://www.archanaskitchen.com/andhra-style-eggplant-poppy-seeds-curry-recipe
beetroot garlic lemon rasam recipe,"beetroot, water, salt, black pepper powder, cumin seeds , coriander seeds, dry red chilli, garlic, coriander leaves, curry leaves, coriander leaves, oil, mustard seeds , cumin seeds , dry red chilli, asafoetida , salt, garlic, coriander leaves",https://www.archanaskitchen.com/beetroot-garlic-lemon-rasam-recipe
spicy bean rice with marinara sauce   jalapenos recipe,"cooked rice, rajma  large kidney beans , pickled jalapenos, veeba marinara sauce, basil leaves, salt",https://www.archanaskitchen.com/spicy-bean-rice-with-marinara-sauce-jalapenos
chettinad style kara kuzhambu recipe with potato and brinjal,"methi seeds , coriander seeds, fennel seeds , dry red chilli, fresh coconut, pearl onions  sambar onions , garlic, tomatoes, potatoes  aloo , eggplant , jaggery, tamarind water, sambar powder, gingelly oil, mustard seeds , curry leaves",https://www.archanaskitchen.com/chettinadu-style-potato-kaarakozhambu-recipe
black rice  barley   flax seeds congee recipe,"black rice, barley  seeds , flax seeds, congee powder, spinach leaves , rasam powder, garlic, extra virgin olive oil, water",https://www.archanaskitchen.com/black-rice-barley-flax-seeds-congee-recipe
grilled tangy lime salmon steak recipe,"salmon fillet, onion, lemon zest, whole black peppercorns, garlic powder, extra virgin olive oil, paprika powder, salt, lemon juice, dijon mustard, lemon juice, sambal oelek",https://www.archanaskitchen.com/zingy-lime-and-salmon-recipe
oriya special dalma recipe   lentils cooked with vegetables   raw papaya,"toor dal , potatoes  aloo , carrot , kaddu  parangikai  pumpkin , eggplant , papaya, onion, tomato, ginger, bay leaf , ghee, garlic, green chilli, dry red chilli, panch phoran masala, garam masala powder, turmeric powder , cumin powder , red chilli powder, salt, fresh coconut, coriander leaves",https://www.archanaskitchen.com/oriya-special-dalma-recipe-lentils-cooked-with-vegetables-raw-papaya
spicy asparagus stir fry  indo chinese fusion recipe,"onions, asparagus, spring onion , extra virgin olive oil, garlic, onion, soy sauce, red chilli sauce, chilli vinegar, salt",https://www.archanaskitchen.com/spicy-super-asparagus-stir-fry-indo-chinese
mooga gathi  sprouted moong in coconut paste  recipe,"green moong sprouts, fresh coconut, whole black peppercorns, dry red chilli, coriander seeds, turmeric powder , tamarind, mustard seeds , curry leaves, asafoetida , jaggery, oil",https://www.archanaskitchen.com/mooga-gathi-sprouted-moong-in-coconut-paste-recipe
spinach mushroom chickpea curry recipe,"mushrooms, spinach leaves ,  white chickpeas , oil, onions, tomato puree, ginger, garlic, red chillies, turmeric powder , cumin powder , garam masala powder, salt, coconut milk, coriander leaves, mint leaves",https://www.archanaskitchen.com/spinach-mushroom-chickpea-curry-recipe
finger millet crepe recipe with fruits,"ragi flour  finger millet  nagli , whole wheat flour, eggs, milk, oil, salt, sugar, strawberries, cinnamon powder  dalchini , lemon juice",https://www.archanaskitchen.com/finger-millet-fruit-filled-crepes-ragi-fruit-roll
konkani style mooga ghushi recipe sprouted whole green gram in tangy coconut gravy,"green moong dal  whole , fresh coconut, dry red chilli, tamarind paste, coconut oil, mustard seeds , curry leaves, salt",https://www.archanaskitchen.com/mooga-ghushi-recipe-sprouted-whole-green-gram-in-tangy-coconut-gravy
mangalorean chicken ghee roast recipe,"chicken breasts, curd , turmeric powder , lemon juice, curry leaves, jaggery, ghee, salt, dry red chilli, whole black peppercorns, cloves , methi seeds , coriander seeds, cumin seeds , garlic, tamarind paste",https://www.archanaskitchen.com/mangalorean-chicken-ghee-roast-recipe
carrot and coriander soup recipe,"carrot , onion, coriander leaves, green chilli, garlic, cloves , lemon, salt, black pepper powder, coriander leaves, ghee",https://www.archanaskitchen.com/carrot-and-coriander-soup-recipe
goan style mushroom shagoti recipe,"mushrooms, whole black peppercorns, cloves , carom seeds , fennel seeds , cumin seeds , coriander seeds, cinnamon stick , dry red chilli, poppy seeds, fresh coconut, oil, onions, garlic, salt, tamarind paste",https://www.archanaskitchen.com/goan-style-mushroom-shagoti-recipe
lemon rosemary sauce baked penne pasta recipe,"durum wheat penne pasta, butter  salted , garlic, lemon juice, lemon, rosemary, black pepper powder, mozzarella cheese",https://www.archanaskitchen.com/lemon-rosemary-sauce-baked-penne-pasta-recipe
mulakushyam recipe   a mixed vegetable lentil curry,"moong dal , chayote, potato , carrot , green peas , green chilli, turmeric powder , salt, curry leaves, black pepper powder, coconut oil",https://www.archanaskitchen.com/molagooshyam-recipe-a-mixed-vegetable-lentil-curry
crispy crab rangoons recipe,"wonton wraps, oil, crab meat, ginger, onion, carrot , britannia cream cheese, sugar, soy sauce",https://www.archanaskitchen.com/crispy-crab-rangoons-recipe
chettinad pakora curry recipe,"bengal gram dal , dry red chilli, fennel seeds , salt, oil, onion, tomato, green chilli, garlic, coriander powder , red chilli powder, cinnamon stick , bay leaf , cardamom seeds, fennel seeds , curry leaves, coriander leaves, oil, salt, fresh coconut, poppy seeds, fennel seeds , cashew nuts, roasted gram dal  pottukadalai",https://www.archanaskitchen.com/chettinad-pakoda-curry-recipe
oriya style ghanta tarkari recipe  mixed vegetables curry,"kaddu  parangikai  pumpkin , potatoes  aloo , long string bean  chavli , ripe bananas, mooli  mullangi  radish , sweet potatoes, colocasia root , elephant yam , eggplant , vellai poosanikai  ash gourd white pumpkin , lima beans, tomato, cucumber, pointed gourd , spine gourd  kankoda , ridge gourd  turai  peerkangai , fresh coconut, fresh coconut, ginger, bay leaf , kala chana  brown chickpeas , green moong sprouts, turmeric powder , salt, jaggery, dry red chilli, cumin seeds , cumin powder , red chilli powder, ghee",https://www.archanaskitchen.com/oriya-style-ghanta-tarkari-mixed-vegetables-curry
spicy moroccan eggs recipe,"extra virgin olive oil, onion, garlic, harissa paste, coriander powder , vegetable stock, kala chana  brown chickpeas , tomatoes, yellow bell pepper  capsicum , spinach leaves , coriander leaves, eggs, salt and pepper",https://www.archanaskitchen.com/spicy-moroccan-eggs-recipe
rosemary chicken rice recipe with spicy tomato garlic sauce,"rice, extra virgin olive oil, garlic, onion, rosemary, salt, chicken breasts, carrot , extra virgin olive oil, garlic, basil leaves, tomato puree, salt, sugar, hot sauce, paprika powder, fresh cream",https://www.archanaskitchen.com/rosemary-chicken-rice-recipe-with-spicy-tomato-garlic-sauce
